5537 W Broadway Ave,Crystal,MN,55428,45.053348506223955,-93.36458402909183
1902 Miller Trunk Hwy,Duluth,MN,55811,46.8087054,-92.1676516
2555 W 79th St,Bloomington,MN,55431,44.8601,-93.2376
12275 St Charles Rock Rd,Bridgeton,MO,63044,38.7404,-90.4037
13131 Montfort Dr,Dallas,TX,75240,32.9279172,-96.8129434
1701 S Yale Ave,Tulsa,OK,74112,36.1380953677813,-95.92235286793797
4777 S 27th St,Greenfield,WI,53221,42.9567716,-87.9509628
15025 Manchester Rd,Ballwin,MO,63011,38.5948683,-90.5471902
5400 N May Ave,Oklahoma City,OK,73112,35.5243902,-97.564354
7899 Wadsworth Blvd,Arvada,CO,80003,39.8396288,-105.085567
2500 E Lake St,Minneapolis,MN,55406,44.9484,-93.2361
6464 E NORTHWEST HWY STE 212,Dallas,TX,75214,32.85826131797011,-96.7522715376318
4202 13th Ave SW,Fargo,ND,58103,46.862,-96.85201326530611
2800 Pearl St,Boulder,CO,80301,40.0225469,-105.2574062
120 W Parker Rd,Plano,TX,75075,33.037434,-96.7077458
1744 Suburban Ave,Saint Paul,MN,55106,44.9498068,-93.0285095
1800 Valley West Dr,West Des Moines,IA,50266,41.5992736,-93.7532327
10801 Westheimer Rd,Houston,TX,77042,29.7354809,-95.5678138
3600 S Louise Ave,Sioux Falls,SD,57106,43.513,-96.7711
300 Homer M Adams Pkwy,Alton,IL,62002,38.920783794151234,-90.17341526854038
105 W Troutman Pkwy,Fort Collins,CO,80525,40.5273149,-105.0784324
4317 Kemp Blvd,Wichita Falls,TX,76308,33.8656387755102,-98.5358
2401 Kossow Rd,Waukesha,WI,53186,43.0342436,-88.1768374
7302 University Ave,Lubbock,TX,79423,33.5282744,-101.8722346
2400 10th St SW,Minot,ND,58701,48.20745857864376,-101.30684142135624
3500 Dodge St,Dubuque,IA,52003,42.4896598,-90.7221005
601 Colonial Rd,Memphis,TN,38117,35.1134475,-89.902666
2424 Highway 6 and 50,Grand Junction,CO,81505,39.0925465,-108.6045188
8601 Research Blvd,Austin,TX,78758,30.3625614,-97.7156827
2300 W Ben White Blvd,Austin,TX,78704,30.232034784281357,-97.79310257700928
13201 Ridgedale Dr,Minnetonka,MN,55305,44.969831,-93.4479545
4000 1st Ave,Evansville,IN,47710,38.015,-87.5741
1037 S Reed Rd,Kokomo,IN,46902,40.4767,-86.1078
301 Veterans Pkwy,Normal,IL,61761,40.50513737373738,-88.9533
2209 State St,New Albany,IN,47150,38.2540146,-85.7172669
2050 Gallatin Rd N,Madison,TN,37115,36.2388,-86.7239
26 White Bridge Rd,Nashville,TN,37205,36.12737591987672,-86.85086387981508
6767 S Clinton St,Englewood,CO,80112,39.5928538,-104.8819043
8040 Ray Mears Blvd,Knoxville,TN,37919,35.923023080537675,-84.04725525441175
5300 Durand Ave,Racine,WI,53406,42.6972720407713,-87.84319118260802
5240 N Academy Blvd,Colorado Springs,CO,80918,38.90695771276596,-104.78185771276596
5850 Eastex Fwy,Beaumont,TX,77708,30.126572413793102,-94.15585862068966
4000 McCain Blvd,North Little Rock,AR,72116,34.79138892789664,-92.22893339184496
401 SE Wyoming Blvd,Casper,WY,82609,42.846796,-106.264082
2206 Memorial Dr,Alexandria,LA,71301,31.27976039079133,-92.454237655252
13700 San Pedro Ave,San Antonio,TX,78232,29.6189599,-98.7414964
5255 E Broadway Blvd,Tucson,AZ,85711,32.2230683,-110.88025
9725 Laurel Canyon Blvd,Pacoima,CA,91331,34.2460353,-118.4190838
2120 W Main St,Alhambra,CA,91801,34.0910858,-118.1471438
499 W Orange Show Rd,San Bernardino,CA,92408,34.0794,-117.29299679144385
5600 Whittier Blvd,Commerce,CA,90022,34.0179456,-118.1503483
5700 Firestone Blvd,South Gate,CA,90280,33.9483113,-118.1673635
12100 Harbor Blvd,Garden Grove,CA,92840,33.9496692,-117.9296772
13831 Brookhurst St,Garden Grove,CA,92843,33.6525779,-117.9526577
2270 N Bellflower Blvd,Long Beach,CA,90815,33.8016206,-118.12596
10820 Jefferson Blvd,Culver City,CA,90230,33.9991084,-118.3939466
1200 N Sepulveda Blvd,Manhattan Beach,CA,90266,34.0858022,-118.4742628
3433 Sepulveda Blvd,Torrance,CA,90505,33.826209,-118.3459226
3245 Sports Arena Blvd,San Diego,CA,92110,32.7522674,-117.2116796
1240 Broadway,Chula Vista,CA,91911,32.6047207,-117.0809408
8001 Othello Ave,San Diego,CA,92111,32.8163031,-117.1523744
3520 Tyler St,Riverside,CA,92503,33.9067387,-117.4597323
4201 W Division St,Saint Cloud,MN,56301,45.5537,-94.21081665413016
333 N 48th St,Lincoln,NE,68504,40.8161987,-96.6549215
3710 Ridgemont Dr,Abilene,TX,79606,32.405363245553204,-99.76608973665961
8225 Flying Cloud Dr,Eden Prairie,MN,55344,44.8559076,-93.4261161
8201 I 40 W,Amarillo,TX,79121,35.1870494949495,-101.94174545454545
17751 Colima Rd,Rowland Heights,CA,91748,33.9915625,-117.918644
2950 S Chase Ave,Milwaukee,WI,53207,42.9917047,-87.9084688
1708 Dell Range Blvd,Cheyenne,WY,82009,41.1643359,-104.8276693
2462 Foothill Blvd,La Verne,CA,91750,34.1097455,-117.7595728
10621 Carmenita Rd,Santa Fe Springs,CA,90670,33.9375879,-118.0481981
6635 Fallbrook Ave,West Hills,CA,91307,34.2245888,-118.6261165
6835 Katella Ave,Cypress,CA,90630,33.8027182,-118.0674946
2191 N Tustin St,Orange,CA,92865,33.8245986,-117.8346809
12602 N Paradise Village Pkwy W,Phoenix,AZ,85032,33.60092319162662,-111.9886
4301 W Wisconsin Ave Ste 42,Appleton,WI,54913,44.2688423,-88.4713453
2400 Bernadette Dr,Columbia,MO,65203,38.96603146739693,-92.37575173917543
6100 Shingle Creek Pkwy,Brooklyn Center,MN,55430,45.0655701,-93.3075186
43525 10th St W,Lancaster,CA,93534,34.6735457,-118.1490886
2907 Cochran St,Simi Valley,CA,93065,34.2807458,-118.7393791
16400 Beach Blvd,Westminster,CA,92683,33.72949494949495,-117.9892
3300 S Bristol St,Santa Ana,CA,92704,33.7037,-117.8856
1135 S Gilbert Rd,Mesa,AZ,85204,33.3943617,-111.7861251
4235 Sunset Dr,San Angelo,TX,76904,31.431458490405436,-100.50051555103991
3333 W Airport Fwy,Irving,TX,75062,32.8366453619105,-96.988009276179
16910 E Quincy Ave,Aurora,CO,80015,39.6361857,-104.7904234
24425 Magic Mountain Pkwy,Valencia,CA,91355,34.4306095,-118.6034336
5555 Philadelphia St,Chino,CA,91710,34.0325356,-117.6830473
26932 La Paz Rd,Aliso Viejo,CA,92656,33.5751,-117.7051
3601 Highway 100 S,St Louis Park,MN,55416,44.9379,-93.3494
1200 S Nellis Blvd,Las Vegas,NV,89104,36.1582193,-115.0608272
4001 S Maryland Pkwy,Las Vegas,NV,89119,36.1165722,-115.1392031
1950 E County Line Rd,Highlands Ranch,CO,80126,39.5653069,-104.9663886
1280 Auto Park Way,Escondido,CA,92029,33.1137549,-117.0997629
13221 Hall Rd,Shelby Township,MI,48315,42.6275,-82.9906
15901 Ford Rd,Dearborn,MI,48126,42.3292851,-83.2249338
14099 Pardee Rd,Taylor,MI,48180,42.20495857864376,-83.25585857864377
35401 Warren Rd,Westland,MI,48185,42.3315753,-83.6495829
32001 John R Rd,Madison Heights,MI,48071,42.6621644,-83.1147217
1330 E 17th St,Santa Ana,CA,92705,33.7597,-117.85131836734693
20801 Ventura Blvd,Woodland Hills,CA,91364,34.1667546,-118.5858749
20200 Bloomfield Ave,Cerritos,CA,90703,33.8470947,-118.0621682
2169 W Redondo Beach Blvd,Gardena,CA,90247,33.8869833,-118.3161074
3333 Arlington Ave,Riverside,CA,92506,33.9477938,-117.3822487
2920 Yorba Linda Blvd,Fullerton,CA,92831,33.889,-117.87687959183674
11051 Victory Blvd,North Hollywood,CA,91606,34.1868553,-118.3720715
14823 Pomerado Rd,Poway,CA,92064,32.9812593,-117.0610108
2380 Sterling Ave,San Bernardino,CA,92404,34.1378025,-117.2451521
4200 E Main St,Ventura,CA,93003,34.2613547,-119.2367205
8840 Corbin Ave,Northridge,CA,91324,34.2306922,-118.5621084
24500 Alicia Pkwy,Mission Viejo,CA,92691,33.6048,-117.6903
10576 Foothill Blvd,Rancho Cucamonga,CA,91730,34.1085657,-117.5739677
1050 Huntington Dr,Duarte,CA,91010,34.1375142,-117.9830698
2255 S El Camino Real,Oceanside,CA,92054,33.0368708,-117.2605231
250 Broadway,El Cajon,CA,92021,32.8097857,-116.9593301
8251 Mira Mesa Blvd,San Diego,CA,92126,32.9112429,-117.1458732
67750 E Palm Canyon Dr,Cathedral City,CA,92234,33.7875208,-116.4802125
223 E Betteravia Rd,Santa Maria,CA,93454,34.9226548,-120.4337476
1818 E Baseline Rd,Tempe,AZ,85283,33.3793813,-111.9077971
5425 S Padre Island Dr Ste 125,Corpus Christi,TX,78411,27.7101940220077,-97.3761352576109
3750 Barranca Pkwy,Irvine,CA,92606,33.6868,-117.8138
2772 Tittabawassee Rd,Saginaw,MI,48604,43.4802,-83.97142727272727
G3515 Miller Rd,Flint,MI,48507,42.9855,-83.748
2887 S Rochester Rd,Rochester Hills,MI,48307,42.6376381,-83.1293247
26650 Ford Rd,Dearborn Heights,MI,48127,42.3292851,-83.2249338
43670 Ford Rd,Canton,MI,48187,42.3183387,-83.6772575
2120 SW Wanamaker Rd,Topeka,KS,66614,39.035653,-95.7680959
8510 Montgomery Blvd NE,Albuquerque,NM,87111,35.1292503,-106.5469727
11120 Lomas Blvd NE,Albuquerque,NM,87112,35.0857824,-106.5278058
29676 Rancho California Rd,Temecula,CA,92591,33.5067419,-117.1459226
2000 Cliff Lake Rd,Eagan,MN,55122,44.7917442,-93.2055549
500 E Edgewood Blvd,Lansing,MI,48911,42.664029062483436,-84.54585799111165
9000 E Talking Stick Way,Scottsdale,AZ,85250,33.5345,-111.8874
2707 Schofield Ave,Schofield,WI,54476,44.907336060661464,-89.59012519308382
4890 Marsh Rd,Okemos,MI,48864,42.7241213208328,-84.41633430986762
131 West Reynolds Rd,Lexington,KY,40503,37.992663,-84.525753
2201 Cobb Pkwy SE,Smyrna,GA,30080,33.895274324324326,-84.48038716216216
3248 Alpine Ave NW,Walker,MI,49544,43.0220532,-85.6876317
4001 N 132nd St,Omaha,NE,68164,41.2943919,-96.11679
3201 S Iowa St,Lawrence,KS,66046,38.92628181818182,-95.2606
718 N Washington St,Papillion,NE,68046,41.1652956,-96.0453861
5225 Elmore Ave,Davenport,IA,52807,41.57389090909091,-90.5284
6839 S Westnedge Ave,Portage,MI,49002,42.1953,-85.563
35700 Van Dyke Ave,Sterling Heights,MI,48312,42.621667,-83.0339847
5700 Beckley Rd,Battle Creek,MI,49015,42.2608,-85.18416506024096
30020 Grand River Ave,Farmington Hills,MI,48336,42.450421265970114,-83.3418244308954
3401 Mall View Rd,Bakersfield,CA,93306,35.3939941,-118.9552058
5609 W Saginaw Hwy,Lansing,MI,48917,42.7409,-84.62577480358064
3300 Dillon Dr,Pueblo,CO,81008,38.304401439940015,-104.6065
3800 Lexington Ave N,Shoreview,MN,55126,45.0565085,-93.1450177
9400 State Road 16,Onalaska,WI,54650,43.8736539,-91.1939712
817 W Alexis Rd,Toledo,OH,43612,41.7203951,-83.5608852
5225 Monroe St,Toledo,OH,43623,41.6995636,-83.6538179
1465 E Mall Dr,Holland,OH,43528,41.614551920529244,-83.69433092218323
9371 Coors Blvd NW,Albuquerque,NM,87114,35.18606,-106.6645284
4300 24th Ave,Fort Gratiot,MI,48059,43.033415555439646,-82.45623490093139
2000 Waters Rd,Ann Arbor,MI,48103,42.2438559,-83.7690773
21637 State Road 7,Boca Raton,FL,33428,26.1369234,-80.2053393
1525 S Power Rd,Mesa,AZ,85206,33.3888464,-111.6831278
1200 Linton Blvd,Delray Beach,FL,33444,26.4418989,-80.1757011
15150 Cedar Ave,Apple Valley,MN,55124,44.7416,-93.2177
444 Monument Rd,Jacksonville,FL,32225,30.3289912,-81.5487183
886 W State Road 436,Altamonte Springs,FL,32714,28.6654,-81.41847172166116
718 Maguire Blvd,Orlando,FL,32803,28.5552555,-81.3454708
880 Sand Lake Rd,Orlando,FL,32809,28.4506509,-81.4785387
900 E Lake Rd,Palm Harbor,FL,34685,28.0637632,-82.7076411
10500 Ulmerton Rd,Largo,FL,33771,27.893443,-82.7861976
15240 N Dale Mabry Hwy,Tampa,FL,33618,28.0886902,-82.5049714
13658 University Plaza St,Tampa,FL,33613,28.084,-82.4508
2100 Paul Bunyan Dr NW,Bemidji,MN,56601,47.4935591,-94.9102103
3301 Highway 10 E,Moorhead,MN,56560,46.8753781,-96.7279952
14546 Dellwood Dr N,Baxter,MN,56425,46.36160611858582,-94.24369388141417
16964 Slover Ave,Fontana,CA,92337,34.0648841,-117.4342559
2505 1st St S,Willmar,MN,56201,45.0979705,-95.0421919
8655 E Point Douglas Rd S,Cottage Grove,MN,55016,44.8152093,-92.930826
1850 Adams St,Mankato,MN,56001,44.17005267658491,-93.95438592886381
4175 Vinewood Ln N,Plymouth,MN,55442,45.0318057,-93.4507842
8401 S Tamiami Trl,Sarasota,FL,34238,27.2285789,-82.4926051
6000 Sawmill Rd,Dublin,OH,43017,40.093787175099315,-83.0917
9041 Southside Blvd,Jacksonville,FL,32256,30.1922531,-81.5510444
3445 Freedom Dr,Springfield,IL,62704,39.74922387571173,-89.70877518635334
3130 S Airport Rd W,Traverse City,MI,49684,44.72551818181818,-85.6361
6820 Eastman Ave,Midland,MI,48642,43.6595862745098,-84.2471
1076 Jackson Xing,Jackson,MI,49202,42.269402276620184,-84.43455663833782
3000 W Deyoung St,Marion,IL,62959,37.7454,-89.021
8148 E Santa Ana Canyon Rd,Anaheim,CA,92808,33.8654644,-117.7471721
605 N Stephanie St,Henderson,NV,89014,36.064611,-115.0477575
9235 Poplar Ave,Germantown,TN,38138,35.0664720077188,-89.75610801157819
1100 Lake Woodlands Dr,The Woodlands,TX,77380,30.1676,-95.4542
39440 10th St W,Palmdale,CA,93551,34.5992754,-118.1462461
4711 Bayou Blvd,Pensacola,FL,32503,30.4683809,-87.2092664
3970 SW Archer Rd,Gainesville,FL,32608,29.6210831,-82.3840895
2380 W International Speedway Blvd,Daytona Beach,FL,32114,29.17970908470949,-81.08040946579992
2750 W New Haven Ave,Melbourne Village,FL,32904,28.0791,-80.66560882352941
1400A Tamiami Trl,Port Charlotte,FL,33948,27.0128,-82.1462
7535 W Broadway Ave,Brooklyn Park,MN,55428,45.09099797500419,-93.3769
7200 Valley Creek Plz,Woodbury,MN,55125,44.9263263,-92.9596959
1701 Galleria Blvd,Franklin,TN,37067,35.9661374,-86.8127504
10555 N Oracle Rd,Oro Valley,AZ,85737,32.3989582,-110.9603987
10451 Indianapolis Blvd,Highland,IN,46322,41.5351,-87.4712
2901 S Cicero Ave,Cicero,IL,60804,41.8715934,-87.7470681
2350 Troy Rd,Edwardsville,IL,62025,38.78900202020202,-89.9512
2721 Dawson Rd,Albany,GA,31707,31.6177,-84.2221
4151 E Highway 90,Sierra Vista,AZ,85635,31.5548,-110.2548
1290 Hamner Ave,Norco,CA,92860,33.9011444,-117.564875
1630 E Cheyenne Mountain Blvd,Colorado Springs,CO,80906,38.793609555769535,-104.80052488878184
250 E Miracle Strip Pkwy,Mary Esther,FL,32569,30.4097,-86.6592
15005 SW 88th St,Miami,FL,33196,25.6859469,-80.4374326
875 Lawrenceville Suwanee Rd Ste 4000,Lawrenceville,GA,30043,33.96937062406291,-84.02023492336201
5950 State Bridge Rd,Duluth,GA,30097,34.0229,-84.1969
1815 Norman Dr,Valdosta,GA,31601,30.8320829,-83.3224154
975 County Road E,Vadnais Heights,MN,55127,45.2237,-93.0539
735 W Stadium Blvd,Jefferson City,MO,65109,38.5793274,-92.2142305
679 E Dundee Rd,Palatine,IL,60074,42.1370814,-88.0270002
6365 I 55 N,Jackson,MS,39213,32.39375918243599,-90.14544013626066
2056 Skibo Rd,Fayetteville,NC,28314,35.05112841044198,-78.97436477217094
2116 N Roan St,Johnson City,TN,37601,36.34346630156874,-82.37641978094123
5151 Frederica St,Owensboro,KY,42301,37.7173975232549,-87.12530323821515
8550 East Fwy,Fort Worth,TX,76120,32.7582558,-97.1697511
3527 W Florida Ave,Hemet,CA,92545,33.7453541,-117.0090351
9531 South Blvd,Charlotte,NC,28273,35.10740498947152,-80.88158418090194
888 W Arrow Hwy,San Dimas,CA,91773,34.1044731,-117.823584
6748 Redwood Rd,West Jordan,UT,84084,40.6282652173913,-111.939
2541 E Lohman Ave Ste A,Las Cruces,NM,88011,32.3176225,-106.7448559
4001 N Midland Dr,Midland,TX,79707,32.023753,-102.1450908
2810 SW Military Dr,San Antonio,TX,78224,29.355612,-98.5426889
2673 E Main St,Plainfield,IN,46168,39.719279794418945,-86.35365051395263
3151 E 7th St,Joplin,MO,64801,37.084147959183674,-94.47380306122449
7003 S Broadway Ave,Tyler,TX,75703,32.273163636363634,-95.30686688311688
18000 Vernier Rd,Harper Woods,MI,48225,42.45,-82.9332
107 Pavilion Pkwy,Fayetteville,GA,30214,33.47969530048899,-84.44126218542652
1631 Ring Rd,Elizabethtown,KY,42701,37.72940154442466,-85.87947519305308
4640 Taylorsville Rd,Louisville,KY,40220,38.2152315,-85.59521
6850 Ridge Rd,Parma,OH,44129,41.3780717,-81.7366592
449 Howe Ave,Cuyahoga Falls,OH,44221,41.1204234,-81.4769318
5584 Dressler Rd NW,North Canton,OH,44720,40.8614781,-81.4309811
6670 Clinton Hwy,Knoxville,TN,37912,36.0069,-84.0197
514 Shallowford Rd NW,Gainesville,GA,30504,34.29134863114899,-83.84603147386147
3150 Bel Air Mall,Mobile,AL,36606,30.673480388386483,-88.12590194193244
6295 W Waters Ave,Tampa,FL,33634,28.0264478,-82.5493457
5350 Fruitville Rd,Sarasota,FL,34232,27.3364878,-82.4623411
2100 Texas Ave S,College Station,TX,77840,30.61229494949495,-96.31539393939394
7501 San Dario Ave,Laredo,TX,78045,27.56991843717197,-99.50233413853125
1002 Dixieland Rd,Harlingen,TX,78552,26.18,-97.721
1111 E Army Post Rd Ste 2204,Des Moines,IA,50315,41.5232785,-93.6016694
3450 4th St SW,Mason City,IA,50401,43.1484,-93.25473333333333
1708 N Central Ave,Marshfield,WI,54449,44.6845,-90.1635
5300 US Highway 10 E,Stevens Point,WI,54482,44.5248904,-89.5232099
1900 S Koeller St,Oshkosh,WI,54902,44.007439411448445,-88.58201936472547
485 N Rolling Meadows Dr,Fond Du Lac,WI,54937,43.7906356,-88.4849694
2017 Humes Rd,Janesville,WI,53545,42.7225322,-88.9987282
6560 E State St,Rockford,IL,61108,42.2695967,-88.9887118
2340 Highway 77,Panama City,FL,32405,30.191604,-85.6488424
187 Brandon Town Center Dr,Brandon,FL,33511,27.9359424,-82.3245614
4271 Tamiami Trl S,Venice,FL,34293,27.2324283,-82.5048931
12801 W Sunrise Blvd,Sunrise,FL,33323,26.1461311,-80.3246652
2650 NW Federal Hwy,Stuart,FL,34994,27.2600125,-80.2823393
6150 14th St W,Bradenton,FL,34207,27.43207272727273,-82.5757
13711 S Tamiami Trl,Fort Myers,FL,33912,26.5449084,-81.8690121
33860 S Gratiot Ave,Clinton Township,MI,48035,42.545981818181815,-82.90511818181818
8600 Springbrook Dr NW,Coon Rapids,MN,55433,45.133298880715465,-93.27269888071547
4404 Highway 29 S,Alexandria,MN,56308,45.93790859106662,-95.313
801 Sunland Park Dr,El Paso,TX,79912,31.81817915322371,-106.54534169355259
1901 George Dieter Dr,El Paso,TX,79936,31.769440384615386,-106.3034
708 E Expressway 83,McAllen,TX,78503,26.187718117092647,-98.21512753162942
8055 W Bell Rd,Peoria,AZ,85382,33.6362594,-112.2281041
3210 N Tenaya Way,Las Vegas,NV,89129,36.2191834,-115.2495784
1401 Frontage Rd,Scottsbluff,NE,69361,41.86711712643081,-103.64113425286162
2725 N Main St,Roswell,NM,88201,33.427158602150534,-104.5231
313 E Townline Rd,Vernon Hills,IL,60061,42.238996,-87.956968
300 S Randall Rd,Elgin,IL,60123,41.8865331,-88.3434474
2621 W Schaumburg Rd,Schaumburg,IL,60194,42.0228678,-88.1459316
175 W Army Trail Rd,Glendale Heights,IL,60139,41.93749925555931,-88.0837918111524
850 W North Ave,Melrose Park,IL,60160,41.9051254,-87.8436314
601 S County Farm Rd,Wheaton,IL,60187,41.85969285714286,-88.1426
115 N Randall Rd,Batavia,IL,60510,41.8522106,-88.3427191
1951 W Jefferson Ave,Naperville,IL,60540,41.7713608,-88.2031704
7100 S Cicero Ave,Chicago,IL,60629,41.7632408,-87.7429957
15850 S 94th Ave,Orland Park,IL,60462,41.6225,-87.8486
9250 Joliet Rd,Hodgkins,IL,60525,41.7809234,-87.859439
2120 Apalachee Pkwy,Tallahassee,FL,32301,30.4330512,-84.2445755
4155 W Lake Mary Blvd,Lake Mary,FL,32746,28.7545931,-81.3485944
1001 13th St S,Virginia,MN,55792,47.5119,-92.5481
3316 7th Ave SE,Aberdeen,SD,57401,45.4581,-98.44257142857143
6001 W Gateway Blvd,El Paso,TX,79925,31.8325,-106.4402
3550 S Rainbow Blvd,Las Vegas,NV,89103,36.1247456,-115.2414346
7409 W Virginia Ave,Phoenix,AZ,85035,33.4757118,-112.2185836
3901 W Ina Rd,Tucson,AZ,85741,32.3360796,-111.0488678
6500 E Grant Rd,Tucson,AZ,85715,32.2487773,-110.8532705
1510 Market Ln,Norfolk,NE,68701,42.0186,-97.43039360474208
4800 3rd Ave,Kearney,NE,68845,40.7220339,-99.0859308
13250 Northwest Fwy,Houston,TX,77040,29.8489996,-95.5023889
2000 9th Ave SE,Watertown,SD,57201,44.889849544313925,-97.08383171607473
525 S Gear Ave,West Burlington,IA,52655,40.8210718,-91.1724448
1300 State Highway 55 NE,Buffalo,MN,55313,45.204259608812286,-93.91520470773256
851 W 78th St,Chanhassen,MN,55317,44.8621,-93.543
N95 W 17707 Shady Ln,Menomonee Falls,WI,53051,43.1594,-88.1215
2553 Sun Valley Dr,Delafield,WI,53018,43.0510035,-88.3774271
6601 Grand Ave,Gurnee,IL,60031,42.3833666,-87.9657554
2333 63rd St,Woodridge,IL,60517,41.7757492,-87.8870808
1188 W Boughton Rd,Bolingbrook,IL,60440,41.703457276182455,-88.12144179054036
5071 Cal Sag Rd,Crestwood,IL,60445,41.658133562426926,-87.74696712485385
2661 E US Highway 30,Merrillville,IN,46410,41.4709,-87.2216
5001 N Big Hollow Rd,Peoria,IL,61615,40.7546,-89.6451
20100 Haggerty Rd,Livonia,MI,48152,42.4168,-83.4327
2000 SW College Rd,Ocala,FL,34471,29.1734225,-82.1567527
2575 Enterprise Rd,Orange City,FL,32763,28.9164722,-81.2931947
2417 N Haskell Ave,Dallas,TX,75204,32.804084,-96.7910142
1101 Ira E Woods Ave,Grapevine,TX,76051,32.9309087,-97.0897491
3251 Hollywood Blvd Ste 300,Hollywood,FL,33021,26.0108,-80.1727068883974
2910 1st Ave S,Fort Dodge,IA,50501,42.5069638,-94.158172
5330 S 56th St,Lincoln,NE,68516,40.7596897,-96.6409922
1235 E Higgins Rd,Schaumburg,IL,60173,42.0375513,-88.0490876
6925 W 38th St,Indianapolis,IN,46254,39.82316539706998,-86.28171730146501
202 Highway 332 W,Lake Jackson,TX,77566,29.0486,-95.46684560027295
777 E Colorado Blvd,Pasadena,CA,91101,34.1458,-118.1429
1851 E Highway 69,Prescott,AZ,86301,34.549707269279715,-112.43689533379553
4510 Garth Rd,Baytown,TX,77521,29.771934,-94.976308
7608 NE Zac Lentz Pkwy,Victoria,TX,77904,28.864091498934485,-97.00285862538718
1071 W Carl Sandburg Dr,Galesburg,IL,61401,40.9749,-90.38973595631086
401 W Irving Park Rd,Wood Dale,IL,60191,42.0244406,-88.2219446
